Title,Year,Rating,Genre,Runtime,Director
Harry Potter and the Half-Blood Prince,2009,7.6,"Action, Adventure, Family",153 min,David Yates
300,2006,7.6,"Action, Drama",117 min,Zack Snyder
Watchmen,2009,7.6,"Action, Drama, Mystery",162 min,Zack Snyder
Lord of War,2005,7.6,"Action, Crime, Drama",122 min,Andrew Niccol
Batoru rowaiaru,2000,7.6,"Action, Adventure, Drama",114 min,Kinji Fukasaku
Minority Report,2002,7.6,"Action, Crime, Mystery",145 min,Steven Spielberg
Die Hard: With a Vengeance,1995,7.6,"Action, Adventure, Thriller",128 min,John McTiernan
Falling Down,1993,7.6,"Action, Crime, Drama",113 min,Joel Schumacher
Lethal Weapon,1987,7.6,"Action, Crime, Thriller",109 min,Richard Donner
Mad Max 2,1981,7.6,"Action, Adventure, Sci-Fi",96 min,George Miller
The Warriors,1979,7.6,"Action, Crime, Thriller",92 min,Walter Hill
Escape from Alcatraz,1979,7.6,"Action, Biography, Crime",112 min,Don Siegel
